"term","beta","se","t","p","ci_low","ci_high"
"(Intercept)",0.603336961307167,0.0627198827687471,9.61954861318405,6.64173255944185e-21,0.480240281130914,0.72643364148342
"voicePassive",-0.0220089229180418,0.0140600154764781,-1.56535552573622,0.117856242449985,-0.0496037007138257,0.0055858548777421
"mean_trial_position",0.00642558903887303,0.00258508008962941,2.48564408687013,0.0131149316854293,0.00135200211594474,0.0114991759618013
