"term","robust_beta","robust_se","robust_z_or_t","robust_p"
"(Intercept)",0.603336961307161,0.080096721369031,7.53260496802855,1.22485149121784e-13
"voicePassive",-0.0220089229180414,0.0141800043890042,-1.55210973947992,0.120992675170445
"mean_trial_position",0.00642558903887305,0.00335076031124158,1.91765105290153,0.055476149259157
