"Res.Df","Df","F","Pr(>F)","comparison"
885,4,1.15130979227536,0.331029068484608,"M0 vs M1"
884,1,1.0752846591526,0.300038370902216,"M1 vs M2"
883,1,3.6316140960214,0.0570163280330491,"M2 vs M3"
880,3,0.879932402648221,0.450980541006004,"M3 vs M4"
