"term","beta","se","t","p","ci_low","ci_high"
"(Intercept)",0.892873442269421,0.0311595507519803,28.6548881714117,2.79732132237995e-128,0.831718208429473,0.95402867610937
"noun_conditionLH",0.0427164790132694,0.0180574184492369,2.36559168927465,0.0182159934279293,0.00727612056270029,0.0781568374638386
"noun_conditionHL",0.0540319296535082,0.0179836598020665,3.00450132221137,0.00273514033107585,0.018736333473465,0.0893275258335515
"noun_conditionHH",0.0520075852985317,0.0179851396738278,2.89169760378418,0.00392549531899554,0.0167090846509517,0.0873060859461117
"mean_rt",-5.357360191068e-05,1.61332567512441e-05,-3.32069356712795,0.000934678149525624,-8.52375080136767e-05,-2.19096958076833e-05
