"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",889,39.3735505617977,NA,NA,NA,NA
"2",885,39.1641858267749,4,0.209364735022845,1.18987894522744,0.313694283372646
"3",884,39.0944793633521,1,0.0697064634228113,1.58464610888781,0.208426560867401
"4",883,38.8258949739501,1,0.268584389402001,6.10576389440823,0.0136625988644943
"5",880,38.7100233093223,3,0.115871664627811,0.878041879555585,0.451961912022384
