"participant_id","noun_condition","voice","ir_cr","wr_acc_score","ir_rt","wr_rt"
252,"HH","Active",0.895833333333333,1,1207.16666666667,556.5
252,"HH","Passive",0.895833333333333,1,1051.83333333333,1046.4
252,"HL","Active",0.729166666666667,1,1204.2,884
252,"HL","Passive",0.895833333333333,0.5,1486.66666666667,1450
252,"LH","Active",0.895833333333333,0.666666666666667,1262.16666666667,644.5
252,"LH","Passive",0.895833333333333,0.666666666666667,1471.16666666667,1090.6
252,"LL","Active",0.895833333333333,0.666666666666667,1549.33333333333,837.666666666667
252,"LL","Passive",0.5625,1,1566.75,1182.33333333333
253,"HH","Active",0.875,0.666666666666667,2165.66666666667,1326.33333333333
253,"HH","Passive",0.875,0.666666666666667,1579.33333333333,1234
253,"HL","Active",0.875,0.833333333333333,1229.33333333333,501
253,"HL","Passive",0.875,0.5,1450.83333333333,1245.33333333333
253,"LH","Active",0.875,0.5,2170.83333333333,1004.16666666667
253,"LH","Passive",0.875,0.666666666666667,1365.83333333333,235
253,"LL","Active",0.875,0.666666666666667,1578.16666666667,342
253,"LL","Passive",0.875,0.166666666666667,1704.33333333333,648.666666666667
254,"HH","Active",0.0208333333333333,0.5,2145.5,289
254,"HH","Passive",0.520833333333333,0.6,1882,517.666666666667
254,"HL","Active",0.6875,0.833333333333333,2098.66666666667,407.4
254,"HL","Passive",0.520833333333333,0.8,2388.4,745.25
254,"LH","Active",0.354166666666667,1,2129,348
254,"LH","Passive",0.520833333333333,0.8,2085.6,624.5
254,"LL","Active",0.520833333333333,1,2048.4,532
254,"LL","Passive",0.520833333333333,0.6,2355,474.333333333333
256,"HH","Active",0.8125,0.833333333333333,1693,361.166666666667
256,"HH","Passive",0.8125,0.833333333333333,2259.66666666667,987.666666666667
256,"HL","Active",0.8125,0.833333333333333,2364,1248.33333333333
256,"HL","Passive",0.8125,0.666666666666667,2813.16666666667,1437
256,"LH","Active",0.8125,0.666666666666667,2225.66666666667,1014.33333333333
256,"LH","Passive",0.8125,0.833333333333333,2006.16666666667,392.666666666667
256,"LL","Active",0.645833333333333,0.6,2447.6,1272.8
256,"LL","Passive",0.479166666666667,0.75,2142,1334
