"Condition","M","CI_lower","CI_upper"
"HH",0.688941592261905,0.655181597916394,0.723163117262994
"HL",0.690801711309524,0.657970610119048,0.721957538988368
"LH",0.678896949404762,0.644671925297347,0.712658110119048
"LL",0.631649925595238,0.59566128749891,0.665271577380952
