"noun_condition","N","M","SD","Mdn"
"HH",112,1724.84025362039,318.807501162346,1618.34821428571
"HL",112,1729.38815224954,365.061975923952,1647.10267857143
"LH",112,1677.0274650201,334.597274227577,1588.80803571429
"LL",112,1761.85853174603,335.780057700929,1660.95982142857
