"lag_bin","N","IR_hit","WR_acc","Mean_lag"
"Q1 (short)",1601,0.846970643347908,0.753687315634218,5.68707058088695
"Q2",1466,0.832196452933151,0.75327868852459,8.5150068212824
"Q3",1371,0.814733770970095,0.766338406445837,10.4442013129103
"Q4 (long)",826,0.836561743341404,0.743849493487699,12.7627118644068
