"noun_condition","N","M","SD","Mdn"
"HH",112,0.748239409400124,0.150825670099118,0.75
"HL",112,0.746590264893836,0.144880698183324,0.75
"LH",112,0.761989151721295,0.160362882299109,0.75
"LL",112,0.730331052875696,0.172902641705236,0.75
