"noun_condition","N","M_dprime","SD_dprime","M_c","SD_c"
"HH",112,2.145887315646,0.690287930162136,-0.00306778059437423,0.396258156567802
"HL",112,2.14616123804172,0.654095037659652,-0.00320474179223494,0.406703154221652
"LH",112,2.09079538182505,0.697731963171047,0.0244781863160981,0.392736590170461
"LL",112,1.92532272253857,0.672276793536784,0.10721451595934,0.420991476342168
