"noun_condition","N","M","SD","Mdn","Min","Max"
"HH",112,0.688941592261905,0.184818276703152,0.739583333333333,0.109375,0.96875
"HL",112,0.690801711309524,0.176880342518587,0.708333333333333,0.114583333333333,0.947916666666667
"LH",112,0.678896949404762,0.188322859982761,0.729166666666667,0.03125,0.958333333333333
"LL",112,0.631649925595238,0.188977704603497,0.65625,-0.015625,1
