"noun_condition","voice","N","M","SD","Mdn"
"HH","Active",112,0.741666666666667,0.199323179108025,0.75
"HH","Passive",111,0.752252252252252,0.217370494202713,0.8
"HL","Active",112,0.775148809523809,0.207576650286866,0.816666666666667
"HL","Passive",111,0.71966966966967,0.210689083461602,0.75
"LH","Active",111,0.768468468468469,0.194161644509785,0.8
"LH","Passive",111,0.754654654654655,0.211203515848873,0.8
"LL","Active",110,0.743636363636364,0.208423305565044,0.75
"LL","Passive",112,0.717261904761905,0.232031207682245,0.75
