"noun_condition","voice","N","M","SD","Mdn"
"HH","Active",112,0.6826171875,0.199483927714786,0.729166666666667
"HH","Passive",112,0.69526599702381,0.219783188907954,0.75
"HL","Active",112,0.688569568452381,0.194701262515199,0.734375
"HL","Passive",112,0.693033854166667,0.206422213610535,0.739583333333333
"LH","Active",112,0.676664806547619,0.202227456067109,0.703125
"LH","Passive",112,0.681129092261905,0.216314047777786,0.739583333333333
"LL","Active",112,0.625325520833333,0.233834024120075,0.640625
"LL","Passive",112,0.637974330357143,0.214713212556469,0.635416666666667
