"Pair","delta","magnitude","CI_lower","CI_upper"
"HH vs HL",0.00231186224489796,"negligible",-0.14859312096479,0.153111625403042
"HH vs LH",0.0329241071428571,"negligible",-0.118820465995215,0.18316581959222
"HH vs LL",0.187978316326531,"small",0.0369972556591925,0.330569113865556
"HL vs LH",0.0303730867346939,"negligible",-0.120081640175327,0.179463932350906
"HL vs LL",0.197305484693878,"small",0.046856206889383,0.339001657964134
"LH vs LL",0.164461096938776,"small",0.0135222742203173,0.308071852445337
