Descriptive Statistics per Condition x Voice x Metric
======================================================
 noun_condition   voice       metric   N      Mean       SD    Median       Min       Max
             HH  Active        ir_cr 112    0.6826   0.1995    0.7292    0.0208    1.0000
             HH  Active        ir_rt 112 1676.6452 362.5122 1675.3750  896.0000 3009.0000
             HH  Active wr_acc_score 112    0.7417   0.1993    0.7500    0.0000    1.0000
             HH Passive        ir_cr 112    0.6953   0.2198    0.7500   -0.1406    0.9688
             HH Passive        ir_rt 111 1776.6005 371.6632 1779.0000 1051.8333 2755.3333
             HH Passive wr_acc_score 111    0.7523   0.2174    0.8000    0.2500    1.0000
             HL  Active        ir_cr 112    0.6886   0.1947    0.7344    0.0208    0.9479
             HL  Active        ir_rt 112 1663.7237 413.7767 1627.2500  784.5000 2605.0000
             HL  Active wr_acc_score 112    0.7751   0.2076    0.8167    0.0000    1.0000
             HL Passive        ir_cr 112    0.6930   0.2064    0.7396   -0.0521    1.0000
             HL Passive        ir_rt 111 1795.4841 452.6085 1738.2000  916.8333 3834.0000
             HL Passive wr_acc_score 111    0.7197   0.2107    0.7500    0.0000    1.0000
             LH  Active        ir_cr 112    0.6767   0.2022    0.7031   -0.0521    0.9792
             LH  Active        ir_rt 111 1670.8227 363.0593 1650.6000  868.6667 2654.6667
             LH  Active wr_acc_score 111    0.7685   0.1942    0.8000    0.3333    1.0000
             LH Passive        ir_cr 112    0.6811   0.2163    0.7396   -0.0833    0.9583
             LH Passive        ir_rt 111 1670.1446 375.4603 1619.0000  896.4000 2963.0000
             LH Passive wr_acc_score 111    0.7547   0.2112    0.8000    0.0000    1.0000
             LL  Active        ir_cr 112    0.6253   0.2338    0.6406   -0.1406    1.0000
             LL  Active        ir_rt 110 1717.1044 383.9796 1618.0833  827.3333 2978.0000
             LL  Active wr_acc_score 110    0.7436   0.2084    0.7500    0.2000    1.0000
             LL Passive        ir_cr 112    0.6380   0.2147    0.6354    0.1042    1.0000
             LL Passive        ir_rt 112 1808.0671 410.7218 1749.2500  854.0000 2955.5000
             LL Passive wr_acc_score 112    0.7173   0.2320    0.7500    0.0000    1.0000
