participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy IR,Accuracy WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
384,1770619819711,Practice Sentence shown,HL_50_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619825225,Practice Sentence shown,HL_100_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619830749,Practice Sentence shown,HH_131_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619836263,Practice Sentence shown,HL_96_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619841779,Practice Sentence shown,HH_134_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619847293,Practice Sentence shown,HL_95_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619852812,Practice Sentence shown,HL_55_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619858336,Practice Sentence shown,HL_69_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619863860,Practice Sentence shown,HL_93_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619869372,Practice Sentence shown,HH_131_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619871328,Practice IR pressed,HH_131_A,true,,true,Spacebar,1,N/A,1956,N/A,N/A,N/A
384,1770619875538,Practice WR pressed,HH_131_A,true,,true,Yes,N/A,1,N/A,4209,N/A,N/A
384,1770619877057,Practice Sentence shown,HH_121_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619882577,Practice Sentence shown,HH_134_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619886581,Practice Missed,HH_134_P,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
384,1770619895740,Practice Sentence shown,HL_65_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619901263,Practice Sentence shown,HH_132_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619906778,Practice Sentence shown,HH_135_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619912285,Practice Sentence shown,HL_86_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619917800,Practice Sentence shown,HH_121_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619921808,Practice Missed,HH_121_A,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
384,1770619925640,Practice Sentence shown,HL_22_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619931150,Practice Sentence shown,HH_135_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619932534,Practice IR pressed,HH_135_P,true,,true,Spacebar,1,N/A,1384,N/A,N/A,N/A
384,1770619935161,Practice WR pressed,HH_135_P,true,,true,No,N/A,1,N/A,2627,N/A,N/A
384,1770619936663,Practice Sentence shown,HH_132_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619939103,Practice IR pressed,HH_132_P,true,,true,Spacebar,1,N/A,2440,N/A,N/A,N/A
384,1770619945690,Practice WR pressed,HH_132_P,true,,true,No,N/A,1,N/A,6587,N/A,N/A
384,1770619974331,Sentence shown,HVL_107_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619978345,gap_time,N/A,true,,,GapTime_1126,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619979481,Sentence shown,HF_16_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619983487,gap_time,N/A,,,,GapTime_1072,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619984566,Sentence shown,HF_16_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619985361,Validation IR pressed,HF_16_A,,true,true,Spacebar,1,N/A,795,N/A,N/A,N/A
384,1770619985361,IR pressed,HF_16_A,,true,true,Spacebar,1,N/A,795,N/A,N/A,N/A
384,1770619986832,WR pressed,HF_16_A,,true,true,Yes,N/A,N/A,N/A,1471,N/A,N/A
384,1770619986832,gap_time,N/A,,true,true,GapTime_878,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619987716,Sentence shown,HH_158_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619991731,gap_time,N/A,true,,,GapTime_725,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619992470,Sentence shown,HVL_118_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619996484,gap_time,N/A,true,,,GapTime_870,N/A,N/A,N/A,N/A,N/A,N/A
384,1770619997362,Sentence shown,HF_22_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620001373,gap_time,N/A,,,,GapTime_868,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620002248,Sentence shown,LVH_107_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620006263,gap_time,N/A,true,,,GapTime_968,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620007243,Sentence shown,LVH_164_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620011254,gap_time,N/A,true,,,GapTime_1112,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620012370,Sentence shown,HF_14_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620016373,gap_time,N/A,,,,GapTime_992,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620017379,Sentence shown,HH_158_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620019088,IR pressed,HH_158_A,true,,true,Spacebar,1,N/A,1709,N/A,N/A,N/A
384,1770620021554,WR pressed,HH_158_A,true,,true,No,N/A,0,N/A,2466,N/A,N/A
384,1770620021554,gap_time,N/A,true,,true,GapTime_1000,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620022559,Sentence shown,HVL_107_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620024069,IR pressed,HVL_107_P,true,,true,Spacebar,1,N/A,1510,N/A,N/A,N/A
384,1770620026416,WR pressed,HVL_107_P,true,,true,Yes,N/A,0,N/A,2347,N/A,N/A
384,1770620026423,gap_time,N/A,true,,true,GapTime_757,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620027188,Sentence shown,LVL_129_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620031196,gap_time,N/A,true,,,GapTime_774,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620031983,Sentence shown,HF_23_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620035999,gap_time,N/A,,,,GapTime_1216,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620037227,Sentence shown,HVL_118_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620039177,IR pressed,HVL_118_A,true,,true,Spacebar,1,N/A,1950,N/A,N/A,N/A
384,1770620042911,WR pressed,HVL_118_A,true,,true,No,N/A,1,N/A,3734,N/A,N/A
384,1770620042916,gap_time,N/A,true,,true,GapTime_758,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620043687,Sentence shown,HF_24_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620047688,gap_time,N/A,,,,GapTime_792,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620048491,Sentence shown,HF_2_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,1770620050810,Validation Wrong IR pressed,HF_2_A,,,,Spacebar,0,N/A,2319,N/A,N/A,N/A
384,1770620050810,IR pressed,HF_2_A,,,,Spacebar,0,N/A,2319,N/A,N/A,N/A
384,1770620056264,WR pressed,HF_2_A,,,,No,N/A,N/A,N/A,5454,N/A,N/A
