participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy IR,Accuracy WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
286,1770481548220,Practice Sentence shown,HL_35_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481553724,Practice Sentence shown,HL_9_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481559226,Practice Sentence shown,HH_115_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481564729,Practice Sentence shown,HL_40_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481570231,Practice Sentence shown,HH_132_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481575733,Practice Sentence shown,HH_114_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481581236,Practice Sentence shown,HL_13_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481586737,Practice Sentence shown,HH_115_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481590738,Practice Missed,HH_115_P,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
286,1770481600669,Practice Sentence shown,HL_29_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481606172,Practice Sentence shown,HL_54_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481611674,Practice Sentence shown,HH_132_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481613287,Practice IR pressed,HH_132_A,true,,true,Spacebar,1,N/A,1613,N/A,N/A,N/A
286,1770481616926,Practice WR pressed,HH_132_A,true,,true,No,N/A,0,N/A,3638,N/A,N/A
286,1770481623435,Practice Sentence shown,HL_19_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481628938,Practice Sentence shown,HL_34_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481628986,Practice IR pressed,HL_34_A,,,,Spacebar,0,N/A,48,N/A,N/A,N/A
286,1770481636050,Practice Sentence shown,HH_114_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481640051,Practice Missed,HH_114_P,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
286,1770481643090,Practice Sentence shown,HL_86_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481648593,Practice Sentence shown,HL_12_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481654095,Practice Sentence shown,HH_135_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481659597,Practice Sentence shown,HH_136_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481665100,Practice Sentence shown,HH_136_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481666482,Practice IR pressed,HH_136_P,true,,true,Spacebar,1,N/A,1382,N/A,N/A,N/A
286,1770481669406,Practice WR pressed,HH_136_P,true,,true,No,N/A,1,N/A,2924,N/A,N/A
286,1770481670908,Practice Sentence shown,HH_135_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481672224,Practice IR pressed,HH_135_A,true,,true,Spacebar,1,N/A,1316,N/A,N/A,N/A
286,1770481674554,Practice WR pressed,HH_135_A,true,,true,Yes,N/A,1,N/A,2329,N/A,N/A
286,1770481685647,Practice Sentence shown,HL_98_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481691149,Practice Sentence shown,HH_118_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481696651,Practice Sentence shown,HL_36_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481702154,Practice Sentence shown,HH_101_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481707656,Practice Sentence shown,HL_50_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481708848,Practice IR pressed,HL_50_A,,,,Spacebar,0,N/A,1192,N/A,N/A,N/A
286,1770481712674,Practice Sentence shown,HL_90_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481718177,Practice Sentence shown,HL_5_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481723679,Practice Sentence shown,HH_118_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481725464,Practice IR pressed,HH_118_A,true,,true,Spacebar,1,N/A,1785,N/A,N/A,N/A
286,1770481727966,Practice WR pressed,HH_118_A,true,,true,Yes,N/A,1,N/A,2502,N/A,N/A
286,1770481729468,Practice Sentence shown,HL_65_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481734970,Practice Sentence shown,HH_101_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481736552,Practice IR pressed,HH_101_A,true,,true,Spacebar,1,N/A,1582,N/A,N/A,N/A
286,1770481737571,Practice WR pressed,HH_101_A,true,,true,Yes,N/A,1,N/A,1019,N/A,N/A
286,1770481739074,Practice Sentence shown,HL_20_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481744577,Practice Sentence shown,HH_121_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481750079,Practice Sentence shown,HH_127_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481755581,Practice Sentence shown,HH_114_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481759247,Practice IR pressed,HH_114_A,true,,,Spacebar,0,N/A,3666,N/A,N/A,N/A
286,1770481762786,Practice Sentence shown,HL_63_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481768288,Practice Sentence shown,HL_109_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481773791,Practice Sentence shown,HH_121_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481777791,Practice Missed,HH_121_P,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
286,1770481780102,Practice Sentence shown,HH_127_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481782101,Practice IR pressed,HH_127_P,true,,true,Spacebar,1,N/A,1999,N/A,N/A,N/A
286,1770481783382,Practice WR pressed,HH_127_P,true,,true,No,N/A,1,N/A,1281,N/A,N/A
286,1770481784884,Practice Sentence shown,HL_22_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481786843,Practice IR pressed,HL_22_A,,,,Spacebar,0,N/A,1959,N/A,N/A,N/A
286,1770481788777,Practice Sentence shown,HH_114_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481791435,Practice IR pressed,HH_114_P,true,,true,Spacebar,1,N/A,2658,N/A,N/A,N/A
286,1770481793626,Practice WR pressed,HH_114_P,true,,true,No,N/A,1,N/A,2191,N/A,N/A
286,1770481807183,Sentence shown,HF_9_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481811184,gap_time,N/A,,,,GapTime_1119,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481812304,Sentence shown,HF_21_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481816306,gap_time,N/A,,,,GapTime_1010,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481817317,Sentence shown,HF_27_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481821318,gap_time,N/A,,,,GapTime_1261,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481822580,Sentence shown,HF_21_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481825316,Validation IR pressed,HF_21_A,,true,true,Spacebar,1,N/A,2735,N/A,N/A,N/A
286,1770481825316,IR pressed,HF_21_A,,true,true,Spacebar,1,N/A,2735,N/A,N/A,N/A
286,1770481826192,WR pressed,HF_21_A,,true,true,Yes,N/A,N/A,N/A,876,N/A,N/A
286,1770481826193,gap_time,N/A,,true,true,GapTime_925,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481827119,Sentence shown,HF_14_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481831121,gap_time,N/A,,,,GapTime_1238,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481832360,Sentence shown,HF_27_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481833710,Validation IR pressed,HF_27_A,,true,true,Spacebar,1,N/A,1350,N/A,N/A,N/A
286,1770481833710,IR pressed,HF_27_A,,true,true,Spacebar,1,N/A,1350,N/A,N/A,N/A
286,1770481834597,WR pressed,HF_27_A,,true,true,No,N/A,N/A,N/A,887,N/A,N/A
286,1770481834597,gap_time,N/A,,true,true,GapTime_1102,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481835701,Sentence shown,HF_14_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481836827,Validation IR pressed,HF_14_A,,true,true,Spacebar,1,N/A,1126,N/A,N/A,N/A
286,1770481836827,IR pressed,HF_14_A,,true,true,Spacebar,1,N/A,1126,N/A,N/A,N/A
286,1770481837385,WR pressed,HF_14_A,,true,true,Yes,N/A,N/A,N/A,557,N/A,N/A
286,1770481837385,gap_time,N/A,,true,true,GapTime_1146,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481838532,Sentence shown,HF_31_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481842533,gap_time,N/A,,,,GapTime_1152,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481843687,Sentence shown,HF_18_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481847688,gap_time,N/A,,,,GapTime_752,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481848441,Sentence shown,HF_1_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481852442,gap_time,N/A,,,,GapTime_1110,N/A,N/A,N/A,N/A,N/A,N/A
286,1770481853554,Sentence shown,HF_17_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
