participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy IR,Accuracy WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
294,1770488610966,Practice Sentence shown,HH_131_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488616479,Practice Sentence shown,HL_45_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488621993,Practice Sentence shown,HL_2_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488627511,Practice Sentence shown,HH_102_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488633031,Practice Sentence shown,HL_9_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488638543,Practice Sentence shown,HL_38_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488644055,Practice Sentence shown,HL_19_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488649566,Practice Sentence shown,HH_131_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488650878,Practice IR pressed,HH_131_P,true,,true,Spacebar,1,N/A,1312,N/A,N/A,N/A
294,1770488655094,Practice WR pressed,HH_131_P,true,,true,No,N/A,1,N/A,4216,N/A,N/A
294,1770488656610,Practice Sentence shown,HL_37_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488662121,Practice Sentence shown,HH_102_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488663090,Practice IR pressed,HH_102_A,true,,true,Spacebar,1,N/A,969,N/A,N/A,N/A
294,1770488664031,Practice WR pressed,HH_102_A,true,,true,Yes,N/A,1,N/A,941,N/A,N/A
294,1770488665536,Practice Sentence shown,HL_48_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488671063,Practice Sentence shown,HL_65_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488672311,Practice IR pressed,HL_65_A,,,,Spacebar,0,N/A,1248,N/A,N/A,N/A
294,1770488676578,Practice Sentence shown,HH_114_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488682100,Practice Sentence shown,HL_21_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488687620,Practice Sentence shown,HL_36_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488693128,Practice Sentence shown,HH_132_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488698638,Practice Sentence shown,HH_125_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488704148,Practice Sentence shown,HH_132_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488705386,Practice IR pressed,HH_132_P,true,,true,Spacebar,1,N/A,1238,N/A,N/A,N/A
294,1770488706603,Practice WR pressed,HH_132_P,true,,true,No,N/A,1,N/A,1217,N/A,N/A
294,1770488708112,Practice Sentence shown,HH_125_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488710524,Practice IR pressed,HH_125_A,true,,true,Spacebar,1,N/A,2412,N/A,N/A,N/A
294,1770488711653,Practice WR pressed,HH_125_A,true,,true,Yes,N/A,1,N/A,1129,N/A,N/A
294,1770488713160,Practice Sentence shown,HH_114_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488714798,Practice IR pressed,HH_114_P,true,,true,Spacebar,1,N/A,1638,N/A,N/A,N/A
294,1770488715523,Practice WR pressed,HH_114_P,true,,true,No,N/A,1,N/A,725,N/A,N/A
294,1770488739809,Sentence shown,LVH_129_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488743817,gap_time,N/A,true,,,GapTime_1281,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488745108,Sentence shown,HF_4_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488749120,gap_time,N/A,,,,GapTime_1098,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488750235,Sentence shown,HF_4_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488751234,Validation IR pressed,HF_4_A,,true,true,Spacebar,1,N/A,999,N/A,N/A,N/A
294,1770488751234,IR pressed,HF_4_A,,true,true,Spacebar,1,N/A,999,N/A,N/A,N/A
294,1770488754659,WR pressed,HF_4_A,,true,true,Yes,N/A,N/A,N/A,3425,N/A,N/A
294,1770488754660,gap_time,N/A,,true,true,GapTime_871,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488755541,Sentence shown,HF_29_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488759554,gap_time,N/A,,,,GapTime_829,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488760389,Sentence shown,HF_15_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488764401,gap_time,N/A,,,,GapTime_1092,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488765503,Sentence shown,LVH_129_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488769511,gap_time,N/A,true,,true,GapTime_1264,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488770784,Sentence shown,HF_8_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488774795,gap_time,N/A,,,,GapTime_1271,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488776079,Sentence shown,HF_23_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488780087,gap_time,N/A,,,,GapTime_1015,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488781112,Sentence shown,HF_2_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488782907,Validation Wrong IR pressed,HF_2_A,,,,Spacebar,0,N/A,1795,N/A,N/A,N/A
294,1770488782907,IR pressed,HF_2_A,,,,Spacebar,0,N/A,1795,N/A,N/A,N/A
294,1770488784759,WR pressed,HF_2_A,,,,No,N/A,N/A,N/A,1852,N/A,N/A
294,1770488784759,gap_time,N/A,,,,GapTime_939,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488785710,Sentence shown,HF_18_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488789716,gap_time,N/A,,,,GapTime_1005,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488790736,Sentence shown,HF_18_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488791739,Validation IR pressed,HF_18_A,,true,true,Spacebar,1,N/A,1003,N/A,N/A,N/A
294,1770488791739,IR pressed,HF_18_A,,true,true,Spacebar,1,N/A,1003,N/A,N/A,N/A
294,1770488792450,WR pressed,HF_18_A,,true,true,Yes,N/A,N/A,N/A,710,N/A,N/A
294,1770488792450,gap_time,N/A,,true,true,GapTime_1277,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488793729,Sentence shown,HF_23_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488794828,Validation IR pressed,HF_23_A,,true,true,Spacebar,1,N/A,1099,N/A,N/A,N/A
294,1770488794828,IR pressed,HF_23_A,,true,true,Spacebar,1,N/A,1099,N/A,N/A,N/A
294,1770488796263,WR pressed,HF_23_A,,true,true,Yes,N/A,N/A,N/A,1435,N/A,N/A
294,1770488796264,gap_time,N/A,,true,true,GapTime_1285,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488797560,Sentence shown,HF_6_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488801563,gap_time,N/A,,,,GapTime_1089,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488802666,Sentence shown,HF_26_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488803445,Validation Wrong IR pressed,HF_26_A,,,,Spacebar,0,N/A,779,N/A,N/A,N/A
294,1770488803445,IR pressed,HF_26_A,,,,Spacebar,0,N/A,779,N/A,N/A,N/A
294,1770488804582,WR pressed,HF_26_A,,,,No,N/A,N/A,N/A,1137,N/A,N/A
294,1770488804582,gap_time,N/A,,,,GapTime_1019,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488805617,Sentence shown,HF_11_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488806919,Validation Wrong IR pressed,HF_11_A,,,,Spacebar,0,N/A,1302,N/A,N/A,N/A
294,1770488806919,IR pressed,HF_11_A,,,,Spacebar,0,N/A,1302,N/A,N/A,N/A
294,1770488808030,WR pressed,HF_11_A,,,,No,N/A,N/A,N/A,1111,N/A,N/A
294,1770488808031,gap_time,N/A,,,,GapTime_717,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488808753,Sentence shown,HVL_102_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488812761,gap_time,N/A,true,,,GapTime_1195,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488813966,Sentence shown,HH_165_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488817982,gap_time,N/A,true,,,GapTime_1162,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488819147,Sentence shown,HF_12_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488823159,gap_time,N/A,,,,GapTime_774,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488823950,Sentence shown,HVL_136_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,1770488827957,gap_time,N/A,true,,,GapTime_742,N/A,N/A,N/A,N/A,N/A,N/A
