participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy IR,Accuracy WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
366,1770568436344,Practice Sentence shown,HL_90_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568441854,Practice Sentence shown,HL_83_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568447370,Practice Sentence shown,HH_130_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568452887,Practice Sentence shown,HL_99_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568458413,Practice Sentence shown,HL_65_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568463930,Practice Sentence shown,HL_75_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568469453,Practice Sentence shown,HH_108_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568474970,Practice Sentence shown,HL_61_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568480486,Practice Sentence shown,HH_130_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568482496,Practice IR pressed,HH_130_P,true,,true,Spacebar,1,N/A,2010,N/A,N/A,N/A
366,1770568484953,Practice WR pressed,HH_130_P,true,,true,No,N/A,1,N/A,2457,N/A,N/A
366,1770568486469,Practice Sentence shown,HL_87_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568491982,Practice Sentence shown,HH_122_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568497503,Practice Sentence shown,HL_104_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568499808,Practice IR pressed,HL_104_A,,,,Spacebar,0,N/A,2305,N/A,N/A,N/A
366,1770568505419,Practice Sentence shown,HH_108_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568507708,Practice IR pressed,HH_108_A,true,,true,Spacebar,1,N/A,2289,N/A,N/A,N/A
366,1770568508718,Practice WR pressed,HH_108_A,true,,true,Yes,N/A,1,N/A,1010,N/A,N/A
366,1770568510233,Practice Sentence shown,HH_136_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568512608,Practice IR pressed,HH_136_A,true,,,Spacebar,0,N/A,2375,N/A,N/A,N/A
366,1770568517237,Practice Sentence shown,HH_109_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568522753,Practice Sentence shown,HL_110_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568528271,Practice Sentence shown,HL_78_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568530982,Practice IR pressed,HL_78_A,,,,Spacebar,0,N/A,2711,N/A,N/A,N/A
366,1770568535605,Practice Sentence shown,HH_122_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568537448,Practice IR pressed,HH_122_A,true,,true,Spacebar,1,N/A,1843,N/A,N/A,N/A
366,1770568540398,Practice WR pressed,HH_122_A,true,,true,No,N/A,0,N/A,2950,N/A,N/A
366,1770568542972,Practice Sentence shown,HH_136_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568545200,Practice IR pressed,HH_136_P,true,,true,Spacebar,1,N/A,2228,N/A,N/A,N/A
366,1770568546654,Practice WR pressed,HH_136_P,true,,true,No,N/A,1,N/A,1454,N/A,N/A
366,1770568548163,Practice Sentence shown,HH_109_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568550472,Practice IR pressed,HH_109_P,true,,true,Spacebar,1,N/A,2309,N/A,N/A,N/A
366,1770568551734,Practice WR pressed,HH_109_P,true,,true,No,N/A,1,N/A,1262,N/A,N/A
366,1770568602544,Sentence shown,HF_19_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568606551,gap_time,N/A,,,,GapTime_1021,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568607582,Sentence shown,HH_189_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568611591,gap_time,N/A,true,,,GapTime_959,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568612560,Sentence shown,HF_22_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568616567,gap_time,N/A,,,,GapTime_858,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568617430,Sentence shown,HF_4_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568621444,gap_time,N/A,,,,GapTime_912,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568622370,Sentence shown,HF_27_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568626374,gap_time,N/A,,,,GapTime_1236,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568627610,Sentence shown,HF_6_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568631617,gap_time,N/A,,,,GapTime_923,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568632542,Sentence shown,HF_7_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568636550,gap_time,N/A,,,,GapTime_757,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568637309,Sentence shown,HF_29_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568641323,gap_time,N/A,,,,GapTime_1252,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568642576,Sentence shown,HF_7_A,,true,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568644404,Validation IR pressed,HF_7_A,,true,true,Spacebar,1,N/A,1828,N/A,N/A,N/A
366,1770568644404,IR pressed,HF_7_A,,true,true,Spacebar,1,N/A,1828,N/A,N/A,N/A
366,1770568645711,WR pressed,HF_7_A,,true,true,Yes,N/A,N/A,N/A,1307,N/A,N/A
366,1770568645711,gap_time,N/A,,true,true,GapTime_980,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568646692,Sentence shown,LVH_178_P,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
366,1770568650054,Validation Wrong IR pressed,LVH_178_P,true,,,Spacebar,0,N/A,3362,N/A,N/A,N/A
