participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy IR,Accuracy WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
371,1770572159653,Practice Sentence shown,HL_58_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572165156,Practice Sentence shown,HH_121_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572170659,Practice Sentence shown,HL_57_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572176162,Practice Sentence shown,HH_115_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572181664,Practice Sentence shown,HL_38_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572187167,Practice Sentence shown,HL_51_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572192669,Practice Sentence shown,HH_129_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572198172,Practice Sentence shown,HL_22_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572201316,Practice IR pressed,HL_22_A,,,,Spacebar,0,N/A,3144,N/A,N/A,N/A
371,1770572205917,Practice Sentence shown,HH_121_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572207551,Practice IR pressed,HH_121_P,true,,true,Spacebar,1,N/A,1634,N/A,N/A,N/A
371,1770572210798,Practice WR pressed,HH_121_P,true,,true,No,N/A,1,N/A,3247,N/A,N/A
371,1770572212301,Practice Sentence shown,HL_52_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572217803,Practice Sentence shown,HH_112_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572223307,Practice Sentence shown,HL_16_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572228809,Practice Sentence shown,HH_115_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572230107,Practice IR pressed,HH_115_A,true,,true,Spacebar,1,N/A,1298,N/A,N/A,N/A
371,1770572234417,Practice WR pressed,HH_115_A,true,,true,No,N/A,0,N/A,4310,N/A,N/A
371,1770572237173,Practice Sentence shown,HH_129_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572238726,Practice IR pressed,HH_129_P,true,,true,Spacebar,1,N/A,1553,N/A,N/A,N/A
371,1770572242011,Practice WR pressed,HH_129_P,true,,true,Yes,N/A,0,N/A,3285,N/A,N/A
371,1770572245238,Practice Sentence shown,HL_37_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572250741,Practice Sentence shown,HH_100_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572256243,Practice Sentence shown,HH_112_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572258101,Practice IR pressed,HH_112_A,true,,true,Spacebar,1,N/A,1858,N/A,N/A,N/A
371,1770572261715,Practice WR pressed,HH_112_A,true,,true,No,N/A,0,N/A,3614,N/A,N/A
371,1770572264613,Practice Sentence shown,HL_66_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572270116,Practice Sentence shown,HL_15_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572275620,Practice Sentence shown,HH_100_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572279621,Practice Missed,HH_100_P,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
371,1770572292324,Practice Sentence shown,HH_108_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572297826,Practice Sentence shown,HL_91_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572303329,Practice Sentence shown,HH_119_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572308833,Practice Sentence shown,HL_63_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572314336,Practice Sentence shown,HH_108_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572316344,Practice IR pressed,HH_108_P,true,,true,Spacebar,1,N/A,2008,N/A,N/A,N/A
371,1770572318591,Practice WR pressed,HH_108_P,true,,true,Yes,N/A,0,N/A,2247,N/A,N/A
371,1770572320954,Practice Sentence shown,HL_92_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572326457,Practice Sentence shown,HH_131_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572331959,Practice Sentence shown,HL_99_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572337462,Practice Sentence shown,HH_119_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572341462,Practice Missed,HH_119_P,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
371,1770572344365,Practice Sentence shown,HL_104_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572349868,Practice Sentence shown,HL_64_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572355370,Practice Sentence shown,HH_130_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572360873,Practice Sentence shown,HL_82_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572366375,Practice Sentence shown,HH_131_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572367804,Practice IR pressed,HH_131_A,true,,true,Spacebar,1,N/A,1429,N/A,N/A,N/A
371,1770572371220,Practice WR pressed,HH_131_A,true,,true,No,N/A,0,N/A,3416,N/A,N/A
371,1770572375014,Practice Sentence shown,HL_102_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572380516,Practice Sentence shown,HL_88_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572386019,Practice Sentence shown,HH_130_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572387210,Practice IR pressed,HH_130_P,true,,true,Spacebar,1,N/A,1191,N/A,N/A,N/A
371,1770572390619,Practice WR pressed,HH_130_P,true,,true,Yes,N/A,0,N/A,3409,N/A,N/A
371,1770572393923,Practice Sentence shown,HL_1_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572399426,Practice Sentence shown,HH_120_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572404928,Practice Sentence shown,HH_120_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371,1770572406270,Practice IR pressed,HH_120_A,true,,true,Spacebar,1,N/A,1342,N/A,N/A,N/A
371,1770572407318,Practice WR pressed,HH_120_A,true,,true,Yes,N/A,1,N/A,1048,N/A,N/A
